id,word_key,book_key,dict_key,pos,usage,timestamp,lang,tag
CR!9K7BKR5DFX4CHFGQ795652H71Z42:Af8HAAADAAAA:37125:7,しばらく,世界から猫が消えたなら,B00A8QWAC2,Af8HAAADAAAA:37125,いくつかフィルムもあるけれど……」 　僕はしばらく考え込み、そしてある結論を出した。,"June 10, 2021 12:43:54 PM",ja,"['世界から猫が消えたなら', 'ja']"
CR!210T5P2BQ13YK77QQB8WQX9Y2T9K:AbIDAAA2AAAA:233:5,廊下,時をかける少女 (角川文庫),B00A8QWAC2,AbIDAAA2AAAA:233,ときどきどこかの教室のとびらのあけしめされる音がだれもいない廊下にうつろにひびく。,"June 10, 2021 08:28:12 PM",ja,"['時をかける少女_(角川文庫)', 'ja']"
CR!9K7BKR5DFX4CHFGQ795652H71Z42:ASMIAAATAAAA:38924:5,親戚,世界から猫が消えたなら,B00A8QWAC2,ASMIAAATAAAA:38924,集まってくる親戚。,"June 10, 2021 10:41:39 PM",ja,"['世界から猫が消えたなら', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AZ8DAAASAAAA:808:4,胸,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AZ8DAAASAAAA:808,大学の下が高校、その下が中学校、その下が小学校だものね」 　私は先生が感心してくれると思って、胸を張って自分の考えを披露したのだけれど、先生は意外にもとても困ったような顔をして、いつもより少し深い息を吐きました。 ,"June 12, 2021 06:31:21 AM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AagDAAAUAAAA:1173:5,限る,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AagDAAAUAAAA:1173,「二つ目、嫌なことから逃げるのがいいとは限らない。,"June 12, 2021 06:34:11 AM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AcEDAAAYAAAA:2211:5,内緒,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AcEDAAAYAAAA:2211,「私の幸せ、まず一つ目は甘いもの」 「それは私にとっても幸せかもしれないわ」 　私がしんたろう先生を見ると、彼は笑って「皆には内緒だぞ」とこれまたへたくそなウインクで、私にもチョコレートをくれました。 ,"June 12, 2021 06:59:42 AM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AbIDAAAyAAAA:1683:5,頷く,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AbIDAAAyAAAA:1683,私は先生が言ったことをよく考えてみて、もちろん首を縦に振ることも横に振ることも検討した上で、丁寧に頷くことにしました。 ,"June 12, 2021 06:50:11 AM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AesDAAAVAAAA:4044:5,廊下,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AesDAAAVAAAA:4044,私より一歩先にかけあがった彼女は、二階の廊下の突き当たりにあるドアの前で早速「ナーナー」と鳴きはじめます。,"June 12, 2021 09:55:01 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AecDAABXAAAA:3779:5,以上,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AecDAABXAAAA:3779,尻尾のちぎれた彼女は少しばかり河川敷に転がるボールに興味があるようでしたが、彼女もミルク以上にボールが好きなわけじゃありません。 　,"June 12, 2021 03:09:40 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:Ae0DAAAZAAAA:4199:5,足元,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,Ae0DAAAZAAAA:4199,部屋の中にぴんぽーんという音が響いて数秒後、私が足元にいた一匹のアリを見つけるのよりも早く、ドアが開きました。 　,"June 12, 2021 11:21:25 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AXsIAAAHAAAA:42073:5,沈黙,世界から猫が消えたなら,B00A8QWAC2,AXsIAAAHAAAA:42073,「ほ、ほう……」 　アロハが急に沈黙してしまった。,"June 13, 2021 06:51:46 AM",ja,"['世界から猫が消えたなら', 'ja']"
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AYUIAAAQAAAA:42524:4,が,世界から猫が消えたなら,B00A8QWAC2,AYUIAAAQAAAA:42524,僕は現実を受け入れることにし、がばっとベッドから身を起こした。 ,"June 13, 2021 07:16:39 AM",ja,"['世界から猫が消えたなら', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:ARUEAAAXAAAA:6017:5,限る,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,ARUEAAAXAAAA:6017,いつもおうちにいないもの」 「いつも仕事をしてるからって、仕事が面白いとは限らない。,"June 13, 2021 11:25:20 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AfoDAAAfAAAA:4874:9,ぐちゃぐちゃ,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AfoDAAAfAAAA:4874,アバズレさんは窓を開けて冷蔵庫からサンドイッチを取り出して、ぐちゃぐちゃになったベッドの上に座りました。,"June 13, 2021 10:09:49 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AZ8IAAADAAAA:43683:6,戸惑う,世界から猫が消えたなら,B00A8QWAC2,AZ8IAAADAAAA:43683,全然分からないんですけど……」 　僕が戸惑っていると、アロハは続ける。 ,"June 15, 2021 10:12:36 PM",ja,"['世界から猫が消えたなら', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AUAEAABCAAAA:8474:5,反対,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AUAEAABCAAAA:8474,川とは反対側に堤防を下りて、近くにあったクリーム色のアパートに走ります。,"June 16, 2021 02:43:28 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AUwEAABoAAAA:9396:5,表札,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AUwEAABoAAAA:9396,この優しいお姉さんの名前はなんていうんだろう、そう思っていた私の目に、ドアのすぐ横にある表札が映りました。 　,"June 16, 2021 10:14:47 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AW4EAABTAAAA:10731:5,玄関,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AW4EAABTAAAA:10731,しばらくして、あまりにも静かなので誰も住んでいないのかしらと思って玄関をノックすると、笑顔の素敵なおばあちゃんが出てきてくれました。 　,"June 16, 2021 11:36:46 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AX4EAAAPAAAA:11362:5,廊下,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AX4EAAAPAAAA:11362,「そうね、私には箱に入った大人しい羊より、一緒に散歩をしてくれる猫の方が似合ってそう」 　おばあちゃんは優しく笑って、廊下で眠るあの子を見ました。 ,"June 17, 2021 10:07:03 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AacEAAAOAAAA:13271:7,すっかり,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AacEAAAOAAAA:13271,そんな話をしていると、外はすっかりオレンジ色になっていました。,"June 19, 2021 09:39:53 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AcYEAABLAAAA:14733:5,軽い,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AcYEAABLAAAA:14733,理由は、おばあちゃんから聞いた話を独り占めしようとしたのではなく、荻原くんの後ろから男の子が走ってきて彼に軽くぶつかったからです。,"June 20, 2021 07:10:59 AM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!9K7BKR5DFX4CHFGQ795652H71Z42:AakIAAAgAAAA:44322:6,つぶす,世界から猫が消えたなら,B00A8QWAC2,AakIAAAgAAAA:44322,でも、つぶす時間がない。,"June 20, 2021 07:13:07 AM",ja,"['世界から猫が消えたなら', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AdIEAAAPAAAA:15982:5,到着,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AdIEAAAPAAAA:15982,隣の席に座る桐生くんは、私の到着に気がつき膝の上のノートを慌てて閉じました。 ,"June 24, 2021 05:37:15 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
CR!88QR330EFN1314FFMDFY4E1SX86P:AfgEAABXAAAA:18131:5,重要,また、同じ夢を見ていた (双葉文庫),B00A8QWAC2,AfgEAABXAAAA:18131,そう考えていたのですが、先生からとても重要なお知らせがありました。 ,"June 25, 2021 10:45:42 PM",ja,"['また、同じ夢を見ていた_(双葉文庫)', 'ja']"
